filename,epidemiology,Covid,crowd,Given,a,numWord
31197629.txt,1,0,0,0,95,7012
31200648.txt,0,0,0,0,100,6020
31200730.txt,0,0,0,0,105,6464
31214254.txt,0,0,0,0,107,5883
31220148.txt,0,0,0,0,157,7116
31227531.txt,0,0,1,0,53,7036
31241153.txt,2,0,0,0,196,10855
31242266.txt,0,0,0,0,98,8837
31247029.txt,0,0,0,0,111,9874
31254337.txt,0,0,0,0,251,8404
31267977.txt,0,0,3,0,120,7139
31272411.txt,1,0,0,0,66,5752
31293243.txt,1,0,0,0,71,5628
31316067.txt,0,0,0,0,73,5079
31357725.txt,1,0,2,0,230,11536
31391262.txt,0,0,0,0,191,9491
31406239.txt,0,0,2,0,261,10806
31411716.txt,0,0,0,0,42,2573
31434777.txt,0,0,0,0,132,7589
31434905.txt,0,0,0,0,47,3787
31438155.txt,0,0,0,0,37,4802
31506093.txt,0,0,0,0,94,5699
31512174.txt,0,0,0,0,158,11187
31521249.txt,0,0,27,0,173,10249
31521254.txt,0,0,0,0,172,8148
31527408.txt,0,0,0,0,177,8747
31548622.txt,0,0,0,0,64,6552
31557052.txt,3,0,0,0,108,10961
31557184.txt,0,0,3,0,199,11526
31557244.txt,0,0,4,0,200,10130
31560691.txt,0,0,4,0,141,7538
31571341.txt,0,0,0,0,92,6611
31595975.txt,0,0,0,0,75,9827
31613926.txt,0,0,0,0,224,12304
31639170.txt,0,0,0,0,254,11519
31645617.txt,0,0,2,0,127,7467
31657121.txt,0,0,0,0,78,8179
31658763.txt,1,0,3,0,61,7638
31666124.txt,0,0,7,0,39,2847
31670698.txt,1,0,0,0,180,12299
31673343.txt,14,0,1,0,42,11166
31697678.txt,0,0,0,0,62,4545
31718524.txt,0,0,1,0,67,9956
31743357.txt,1,0,0,0,74,7428
31751242.txt,0,0,37,0,288,10834
31751813.txt,0,0,0,0,106,8836
31764261.txt,1,0,0,0,96,6908
31764263.txt,0,0,21,0,142,8701
31767024.txt,0,0,0,0,66,2478
31775896.txt,0,0,6,0,156,10587
31794555.txt,0,0,0,0,144,11466
31795219.txt,0,0,39,0,191,17625
31827189.txt,0,0,0,0,95,6763
31830827.txt,0,0,3,0,113,9114
31836780.txt,0,0,0,0,106,6774
31841534.txt,0,0,1,0,200,14702
31864400.txt,0,0,20,0,34,2322
31898826.txt,0,0,0,0,58,3434
31905322.txt,7,0,0,0,117,10678
31917818.txt,0,0,3,0,65,4984
31941478.txt,1,0,0,0,95,5861
31959234.txt,0,0,8,0,79,5332
31968650.txt,0,0,77,0,335,16652
31971420.txt,0,0,0,0,57,5186
31974517.txt,0,0,0,0,69,5027
32009466.txt,0,0,1,0,111,5294
32012058.txt,0,0,0,0,85,5610
32034250.txt,1,0,0,0,127,9326
32060406.txt,0,0,3,0,64,4833
32066744.txt,0,0,0,0,107,9299
32070433.txt,0,0,0,0,85,4967
32081990.txt,0,0,0,0,53,4437
32083686.txt,0,0,0,0,123,7374
32114777.txt,0,0,0,0,95,4142
32119094.txt,0,0,0,0,73,6100
32130189.txt,0,0,0,0,114,6492
32132606.txt,0,0,0,0,68,8720
32134964.txt,8,0,0,0,114,15161
32134984.txt,0,0,5,0,134,13581
32135574.txt,0,0,1,0,84,5734
32180547.txt,0,0,0,0,243,13403
32188748.txt,0,0,0,0,10,1366
32191543.txt,0,0,0,0,93,4631
32211370.txt,0,0,0,0,78,4324
32222181.txt,0,0,0,0,9,866
32222188.txt,0,0,0,0,11,915
32232369.txt,1,0,0,0,150,5401
32236120.txt,0,0,2,0,99,7787
32254042.txt,7,0,0,0,130,8035
32255782.txt,0,0,1,0,59,4014
32287062.txt,0,0,0,0,131,8542
32296776.txt,0,0,0,0,26,1281
32297088.txt,0,0,11,0,76,4891
32297868.txt,1,0,1,0,70,4806
